,model,knowledge,testName,pass@1,pass@5,pass@10,compile@1,compile@5,compile@10
11,Claude 3.7B Sonnet,Knowledge with Building Blocks,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
12,Claude 3.7B Sonnet,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.2000,0.7183,0.9567,1.0,1.0,1.0
16,Claude 3.7B Sonnet,Knowledge with Building Blocks,Create Channel,0.1000,0.4474,0.7632,0.9,1.0,1.0
17,Claude 3.7B Sonnet,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.9,1.0,1.0
21,Claude 3.7B Sonnet,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
59,Codestral,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.7,0.9996130030959752,1.0
63,Codestral,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
64,Codestral,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
62,Codestral,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
57,Codestral,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
58,Codestral,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
55,Codestral,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
56,Codestral,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
60,Codestral,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
61,Codestral,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
65,Codestral,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
37,Codestral,Basic Knowledge,Count Down,0.6500,0.9986,1.0000,0.65,0.9986455108359134,1.0
41,Codestral,Basic Knowledge,Neighbors Count,0.7000,0.9996,1.0000,0.85,1.0,1.0
42,Codestral,Basic Knowledge,Neighbors Count Excluding Self,0.8500,1.0000,1.0000,0.85,1.0,1.0
40,Codestral,Basic Knowledge,Gather Neighbors IDs,0.1000,0.4474,0.7632,0.09999999999999998,0.4473684210526315,0.7631578947368421
35,Codestral,Basic Knowledge,Calculate Min Distance Neighbors,0.1000,0.4474,0.7632,0.5,0.9837461300309598,0.9999945874558878
36,Codestral,Basic Knowledge,Collect Max ID,0.7500,0.9999,1.0000,0.8,1.0,1.0
33,Codestral,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.5,0.9837461300309598,0.9999945874558878
34,Codestral,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.55,0.9918730650154799,1.0
38,Codestral,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
39,Codestral,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
43,Codestral,Basic Knowledge,SCR Temperature Above 30,0.1000,0.4474,0.7632,0.5,0.9837461300309598,0.9999945874558878
48,Codestral,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
52,Codestral,Knowledge with Building Blocks,Neighbors Count,0.9500,1.0000,1.0000,1.0,1.0,1.0
53,Codestral,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
51,Codestral,Knowledge with Building Blocks,Gather Neighbors IDs,0.0500,0.2500,0.5000,0.050000000000000044,0.25,0.5
46,Codestral,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0500,0.2500,0.5000,0.35,0.9169891640866873,0.9984520123839009
47,Codestral,Knowledge with Building Blocks,Collect Max ID,0.7500,0.9999,1.0000,0.95,1.0,1.0
44,Codestral,Knowledge with Building Blocks,Calculate Gradient,0.2500,0.8063,0.9837,0.6,0.9963880288957688,1.0
45,Codestral,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.65,0.9986455108359134,1.0
49,Codestral,Knowledge with Building Blocks,Create Channel,0.5000,0.9837,1.0000,0.55,0.9918730650154799,1.0
50,Codestral,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.85,1.0,1.0
54,Codestral,Knowledge with Building Blocks,SCR Temperature Above 30,0.0500,0.2500,0.5000,0.19999999999999996,0.7182662538699691,0.956656346749226
92,GPT-4.1 Mini,No Knowledge,Count Down,0.1500,0.6009,0.8947,0.30000000000000004,0.8708720330237358,0.9945820433436533
96,GPT-4.1 Mini,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
97,GPT-4.1 Mini,No Knowledge,Neighbors Count Excluding Self,0.0500,0.2500,0.5000,0.09999999999999998,0.4473684210526315,0.7631578947368421
95,GPT-4.1 Mini,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
90,GPT-4.1 Mini,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
91,GPT-4.1 Mini,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
88,GPT-4.1 Mini,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
89,GPT-4.1 Mini,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
93,GPT-4.1 Mini,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
94,GPT-4.1 Mini,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
98,GPT-4.1 Mini,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
70,GPT-4.1 Mini,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
74,GPT-4.1 Mini,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
75,GPT-4.1 Mini,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
73,GPT-4.1 Mini,Basic Knowledge,Gather Neighbors IDs,0.1000,0.4474,0.7632,1.0,1.0,1.0
68,GPT-4.1 Mini,Basic Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
69,GPT-4.1 Mini,Basic Knowledge,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
66,GPT-4.1 Mini,Basic Knowledge,Calculate Gradient,0.8500,1.0000,1.0000,0.9,1.0,1.0
67,GPT-4.1 Mini,Basic Knowledge,Calculate Gradient (Obstacles),0.4000,0.9489,0.9996,0.8,1.0,1.0
71,GPT-4.1 Mini,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
72,GPT-4.1 Mini,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.65,0.9986455108359134,1.0
76,GPT-4.1 Mini,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.65,0.9986455108359134,1.0
81,GPT-4.1 Mini,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
85,GPT-4.1 Mini,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
86,GPT-4.1 Mini,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
84,GPT-4.1 Mini,Knowledge with Building Blocks,Gather Neighbors IDs,0.6000,0.9964,1.0000,1.0,1.0,1.0
79,GPT-4.1 Mini,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
80,GPT-4.1 Mini,Knowledge with Building Blocks,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
77,GPT-4.1 Mini,Knowledge with Building Blocks,Calculate Gradient,0.7500,0.9999,1.0000,0.9,1.0,1.0
78,GPT-4.1 Mini,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.9,1.0,1.0
82,GPT-4.1 Mini,Knowledge with Building Blocks,Create Channel,0.1000,0.4474,0.7632,0.19999999999999996,0.7182662538699691,0.956656346749226
83,GPT-4.1 Mini,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
87,GPT-4.1 Mini,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
125,Gemini 1.5 Flash,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.0,0.0,0.0
129,Gemini 1.5 Flash,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
130,Gemini 1.5 Flash,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
128,Gemini 1.5 Flash,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
123,Gemini 1.5 Flash,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
124,Gemini 1.5 Flash,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
121,Gemini 1.5 Flash,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
122,Gemini 1.5 Flash,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
126,Gemini 1.5 Flash,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
127,Gemini 1.5 Flash,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
131,Gemini 1.5 Flash,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
103,Gemini 1.5 Flash,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
107,Gemini 1.5 Flash,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
108,Gemini 1.5 Flash,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
106,Gemini 1.5 Flash,Basic Knowledge,Gather Neighbors IDs,1.0000,1.0000,1.0000,1.0,1.0,1.0
101,Gemini 1.5 Flash,Basic Knowledge,Calculate Min Distance Neighbors,1.0000,1.0000,1.0000,1.0,1.0,1.0
102,Gemini 1.5 Flash,Basic Knowledge,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
99,Gemini 1.5 Flash,Basic Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
100,Gemini 1.5 Flash,Basic Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
104,Gemini 1.5 Flash,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
105,Gemini 1.5 Flash,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
109,Gemini 1.5 Flash,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.85,1.0,1.0
114,Gemini 1.5 Flash,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
118,Gemini 1.5 Flash,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
119,Gemini 1.5 Flash,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
117,Gemini 1.5 Flash,Knowledge with Building Blocks,Gather Neighbors IDs,1.0000,1.0000,1.0000,1.0,1.0,1.0
112,Gemini 1.5 Flash,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
113,Gemini 1.5 Flash,Knowledge with Building Blocks,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
110,Gemini 1.5 Flash,Knowledge with Building Blocks,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
111,Gemini 1.5 Flash,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.19999999999999996,0.7182662538699691,0.956656346749226
115,Gemini 1.5 Flash,Knowledge with Building Blocks,Create Channel,0.0000,0.0000,0.0000,0.85,1.0,1.0
116,Gemini 1.5 Flash,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.85,1.0,1.0
120,Gemini 1.5 Flash,Knowledge with Building Blocks,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
158,Gemini 2.0 Flash Exp,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.0,0.0,0.0
162,Gemini 2.0 Flash Exp,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
163,Gemini 2.0 Flash Exp,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
161,Gemini 2.0 Flash Exp,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
156,Gemini 2.0 Flash Exp,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
157,Gemini 2.0 Flash Exp,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
154,Gemini 2.0 Flash Exp,No Knowledge,Calculate Gradient,0.1000,0.4474,0.7632,0.09999999999999998,0.4473684210526315,0.7631578947368421
155,Gemini 2.0 Flash Exp,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
159,Gemini 2.0 Flash Exp,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
160,Gemini 2.0 Flash Exp,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
164,Gemini 2.0 Flash Exp,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
136,Gemini 2.0 Flash Exp,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
140,Gemini 2.0 Flash Exp,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
141,Gemini 2.0 Flash Exp,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
139,Gemini 2.0 Flash Exp,Basic Knowledge,Gather Neighbors IDs,0.8500,1.0000,1.0000,0.85,1.0,1.0
134,Gemini 2.0 Flash Exp,Basic Knowledge,Calculate Min Distance Neighbors,1.0000,1.0000,1.0000,1.0,1.0,1.0
135,Gemini 2.0 Flash Exp,Basic Knowledge,Collect Max ID,0.6500,0.9986,1.0000,1.0,1.0,1.0
132,Gemini 2.0 Flash Exp,Basic Knowledge,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
133,Gemini 2.0 Flash Exp,Basic Knowledge,Calculate Gradient (Obstacles),0.1000,0.4474,0.7632,0.55,0.9918730650154799,1.0
137,Gemini 2.0 Flash Exp,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
138,Gemini 2.0 Flash Exp,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
142,Gemini 2.0 Flash Exp,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
147,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
151,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
152,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
150,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Gather Neighbors IDs,0.0500,0.2500,0.5000,0.050000000000000044,0.25,0.5
145,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,1.0,1.0,1.0
146,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Collect Max ID,0.8500,1.0000,1.0000,1.0,1.0,1.0
143,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
144,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.2000,0.7183,0.9567,0.85,1.0,1.0
148,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Create Channel,0.6000,0.9964,1.0000,0.9,1.0,1.0
149,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,Create Channel (Obstacles),0.3000,0.8709,0.9946,0.95,1.0,1.0
153,Gemini 2.0 Flash Exp,Knowledge with Building Blocks,SCR Temperature Above 30,0.5500,0.9919,1.0000,0.9,1.0,1.0
191,Gemini 2.5 Pro,No Knowledge,Count Down,0.9500,1.0000,1.0000,0.95,1.0,1.0
195,Gemini 2.5 Pro,No Knowledge,Neighbors Count,0.4000,0.9489,0.9996,0.4,0.9489164086687306,0.9996427720885925
196,Gemini 2.5 Pro,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.050000000000000044,0.25,0.5
194,Gemini 2.5 Pro,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
189,Gemini 2.5 Pro,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.30000000000000004,0.8708720330237358,0.9945820433436533
190,Gemini 2.5 Pro,No Knowledge,Collect Max ID,0.6000,0.9964,1.0000,0.7,0.9996130030959752,1.0
187,Gemini 2.5 Pro,No Knowledge,Calculate Gradient,0.4000,0.9489,0.9996,0.44999999999999996,0.9702012383900929,0.9999404620147654
188,Gemini 2.5 Pro,No Knowledge,Calculate Gradient (Obstacles),0.6000,0.9964,1.0000,0.65,0.9986455108359134,1.0
192,Gemini 2.5 Pro,No Knowledge,Create Channel,0.0500,0.2500,0.5000,0.4,0.9489164086687306,0.9996427720885925
193,Gemini 2.5 Pro,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.4,0.9489164086687306,0.9996427720885925
197,Gemini 2.5 Pro,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
169,Gemini 2.5 Pro,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
173,Gemini 2.5 Pro,Basic Knowledge,Neighbors Count,0.6000,0.9964,1.0000,1.0,1.0,1.0
174,Gemini 2.5 Pro,Basic Knowledge,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
172,Gemini 2.5 Pro,Basic Knowledge,Gather Neighbors IDs,0.6500,0.9986,1.0000,1.0,1.0,1.0
167,Gemini 2.5 Pro,Basic Knowledge,Calculate Min Distance Neighbors,1.0000,1.0000,1.0000,1.0,1.0,1.0
168,Gemini 2.5 Pro,Basic Knowledge,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
165,Gemini 2.5 Pro,Basic Knowledge,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
166,Gemini 2.5 Pro,Basic Knowledge,Calculate Gradient (Obstacles),1.0000,1.0000,1.0000,1.0,1.0,1.0
170,Gemini 2.5 Pro,Basic Knowledge,Create Channel,0.0000,0.0000,0.0000,0.44999999999999996,0.9702012383900929,0.9999404620147654
171,Gemini 2.5 Pro,Basic Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.9,1.0,1.0
175,Gemini 2.5 Pro,Basic Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
180,Gemini 2.5 Pro,Knowledge with Building Blocks,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
184,Gemini 2.5 Pro,Knowledge with Building Blocks,Neighbors Count,0.7000,0.9996,1.0000,1.0,1.0,1.0
185,Gemini 2.5 Pro,Knowledge with Building Blocks,Neighbors Count Excluding Self,1.0000,1.0000,1.0000,1.0,1.0,1.0
183,Gemini 2.5 Pro,Knowledge with Building Blocks,Gather Neighbors IDs,0.4000,0.9489,0.9996,0.95,1.0,1.0
178,Gemini 2.5 Pro,Knowledge with Building Blocks,Calculate Min Distance Neighbors,1.0000,1.0000,1.0000,1.0,1.0,1.0
179,Gemini 2.5 Pro,Knowledge with Building Blocks,Collect Max ID,1.0000,1.0000,1.0000,1.0,1.0,1.0
176,Gemini 2.5 Pro,Knowledge with Building Blocks,Calculate Gradient,1.0000,1.0000,1.0000,1.0,1.0,1.0
177,Gemini 2.5 Pro,Knowledge with Building Blocks,Calculate Gradient (Obstacles),0.1000,0.4474,0.7632,0.85,1.0,1.0
181,Gemini 2.5 Pro,Knowledge with Building Blocks,Create Channel,0.8000,1.0000,1.0000,0.95,1.0,1.0
182,Gemini 2.5 Pro,Knowledge with Building Blocks,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.9,1.0,1.0
186,Gemini 2.5 Pro,Knowledge with Building Blocks,SCR Temperature Above 30,0.0500,0.2500,0.5000,0.4,0.9489164086687306,0.9996427720885925
224,Gemma 3.12B Instruct,No Knowledge,Count Down,0.0000,0.0000,0.0000,0.15000000000000002,0.6008771929824561,0.8947368421052632
228,Gemma 3.12B Instruct,No Knowledge,Neighbors Count,0.0000,0.0000,0.0000,0.0,0.0,0.0
229,Gemma 3.12B Instruct,No Knowledge,Neighbors Count Excluding Self,0.0000,0.0000,0.0000,0.0,0.0,0.0
227,Gemma 3.12B Instruct,No Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
222,Gemma 3.12B Instruct,No Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.0,0.0,0.0
223,Gemma 3.12B Instruct,No Knowledge,Collect Max ID,0.0000,0.0000,0.0000,0.0,0.0,0.0
220,Gemma 3.12B Instruct,No Knowledge,Calculate Gradient,0.0000,0.0000,0.0000,0.0,0.0,0.0
221,Gemma 3.12B Instruct,No Knowledge,Calculate Gradient (Obstacles),0.0000,0.0000,0.0000,0.0,0.0,0.0
225,Gemma 3.12B Instruct,No Knowledge,Create Channel,0.0000,0.0000,0.0000,0.0,0.0,0.0
226,Gemma 3.12B Instruct,No Knowledge,Create Channel (Obstacles),0.0000,0.0000,0.0000,0.09999999999999998,0.4473684210526315,0.7631578947368421
230,Gemma 3.12B Instruct,No Knowledge,SCR Temperature Above 30,0.0000,0.0000,0.0000,0.0,0.0,0.0
202,Gemma 3.12B Instruct,Basic Knowledge,Count Down,1.0000,1.0000,1.0000,1.0,1.0,1.0
206,Gemma 3.12B Instruct,Basic Knowledge,Neighbors Count,1.0000,1.0000,1.0000,1.0,1.0,1.0
207,Gemma 3.12B Instruct,Basic Knowledge,Neighbors Count Excluding Self,0.9500,1.0000,1.0000,0.95,1.0,1.0
205,Gemma 3.12B Instruct,Basic Knowledge,Gather Neighbors IDs,0.0000,0.0000,0.0000,0.0,0.0,0.0
200,Gemma 3.12B Instruct,Basic Knowledge,Calculate Min Distance Neighbors,0.0000,0.0000,0.0000,0.25,0.8063080495356038,0.9837461300309598
201,Gemma 3.12B Instruct,Basic Knowledge,Collect Max ID,0.8500,1.0000,1.0000,0.95,1.0,1.0
